"key","EN","FR"
"nom_tour","Tour des pendus","Tour des pendus"
"nom_eglise","Église Saint-Urcisse","Église Saint-Urcisse"
"description_eglise","You pass by the pastoral Eglise de Saint-Urcisse. After several destructions and reconstructions you are surprised that it is still standing. You wonder if Rayond de Jean (archdeacon of the cathedral) will consolidate his building.","Vous passez devant l'église pastorale Saint-Urcisse. Après plusieurs destructions puis reconstruction vous vous étonnez qu'elle tienne encore debout. Vous vous demandez si Rayond de Jean (archidiacre de la cathédrale) va consolider son édifice."
"description_fin","End","Fin"
"description_garde","You meet a guard, while trying to escape you take a blow and lose 1 life point","Vous rencontrez un garde, "
"credit_1","Thank you for playing the prototype of our serious game of the Valentré Bridge","Merci d'avoir joué au prototype de notre serious game sur le Pont Valentré"
"credit_1_name","Thank you for playing the prototype","Merci d'avoir joué au prototype"
"m_name","Matisse","Matisse"
"m_description","Unity Developer, Music, Game Designer/Level Designer","Développeur intégrateur unity, Musique, Game Designer/Level Designer"
"p_name","Pierre","Pierre"
"p_description","2D Artist, 3D Artist, 3D Animator, Concept Artist","Artiste 2D, Artiste 3D, Animateur 3D, Concept Artist"
"r_name","Thanks","Remerciement"
"r_description","A big thank you to Eva for her help with the music of the game, Eve and Noé for their help on the code, and to the teaching team","Un grand merci à Eva pour son aide avec les musiques du jeu, Eve et Noé pour leurs aides sur le code, ainsi qu'à l'équipe enseignante"
"f_name","The End","Fin"
"f_description","End of the prototype","Fin du prototype"
"cinematique_1","Hello, or good evening to all.@@I will be your game master for the following game.@@I will tell you the legend of the Pont Valentré, also called the Devil's Bridge.@@After almost half a century of hard work without much result, the master builder of the Valentré Bridge made a decision... at least... radical...","Bonjour, ou bien bonsoir à tous.@@Je serais votre maître du jeu pour la partie qui va suivre.@@Je vais vous narrer la légende du Pont Valentré, aussi appelé le Pont du Diable.@@Après presque un demi-siècle à travailler d'arrache-pied sans grand résultat, le maître d'œuvre du Pont Valentré prit une décision... du moins.. radicale..."
"cinematique_2","He made a pact with the Devil and promised to give his soul in exchange for the completion of the bridge.@@Once the bridge was finished, in a fit of dishonesty, the scoundrel decided to go back on his oath and added a condition to the pact.@@""I'll give you my soul if you bring water to my workers with this"", he said while giving the Devil a sieve.@@Obviously, the task was impossible as to the nature of the tool given to the Devil to accomplish his task.","Il passa un pacte avec le Diable et promis de donner son âme en échange de la finalisation du pont.@@Une fois le pont fini, dans un élan de malhonnêteté, le vaurien décida de revenir sur son serment et ajouta une condition au pacte.@@""Je vous donnerais mon âme si vous ramenez de l'eau à mes ouvriers avec ceci"", dit-il tout en donnant au Diable un crible.@@Bien évidemment, la tâche était impossible quant à la nature de l'outil donné au Diable afin d'accomplir sa tâche."
"cinematique_3","Dragged through the mud, the Devil went back to hell. Frustrated, he ordered an imp to go every night and steal a brick from the bridge, so that it would never be finished.@@Here you will take the role of this poor and weak imp, caught in a stupid conflict that does not concern him.@@You'll have to be clever and resourceful to get to the brick. Good luck.","Trainé dans la boue, le Diable reparti en enfer. Frusté, il ordonna dès le lendemain à un diablotin d'aller chaque soir dérober une brique du pont, afin que celui-ci ne soit jamais terminé.@@Vous allez ici prendre le rôle du ce pauvre et faible diablotin, pris dans un stupide conflit dont il n'est point concerné.@@Il vous faudra faire preuve de malice et d'ingéniosité afin d'arriver jusqu'à la brique. Bon courage."
